ID,Name,Show address?,Address1,Address2,City,State,Zipcode,Phone,Description,accept_volunteers
1,Blue Mountain Wildlife Hack Site ,0,,,Benton City,WA,99320,541-278-0215,Notes: Birds of prey; some birds,1
2,Prosser Animal Clinic,0,,,Prosser,WA,99350,509-786-1393,Notes: Birds; INITIAL CARE ONLY,0
3,The Barn Owl Project ,0,,,Manson,WA,98831,509-679-3615,Notes: Primarily orphaned barn owls; some smaller owls; occassional orphaned songbirds,1
4,Northwest Raptor Center,1,1051 Oak Ct,,Sequim,WA,98382,360-460-0178,Notes: All spp except large carnivores and raccoons,1
5,Squirrel Refuge,0,,,Vancouver,WA,98668,360-836-0955,Notes: Small mammals only,1
6,Dr. Malisha Serrano - Ocean Beach Vet Clinic,1,4011 Ocean Beach Hwy,Box 111,Longview,WA,98632,360-425-0850,Notes: INITIAL CARE ONLY All spp except raccoons,0
7,NE WA Wildlife Rehab Society,0,,,Kettle Falls,WA,99141,509-675-2760,Notes: Birds of prey only,1
8,The Friends of Slim Pickens Wildlife Rescue,1,2943 E Hoquiam Rd,,Hoquiam,WA,98550,360-532-5912,Notes: Birds and small mammals,1
9,Grays Harbor Veterinary Services,1,4 Old Beacon Rd,,Montesano,WA,98563,360-249-4840,,0
10,Useless Bay Animal Clinic,1,5523 S Harbor Ave,,Freeland,WA,98249,360-331-3100,Notes: All spp,1
11,Wildlife Care Clinic,1,33285 SR 20,,Oak Harbor ,WA,98277,360-679-6796,Notes: All spp,1
12,Discovery Bay Raptor Rehabilitation,0,,,Port Townsend,WA,98368,360-643-0056,Notes: Birds of prey and small birds,1
13,Center Valley Animal Rescue,0,,,Quilcene,WA,98376,360-765-0598,Notes: Mammals only; no bats; no birds,1
14,South Sound Critter Care,1,28727 216th Ave SE,,Kent,WA,98042,360-886-8917,Notes: All spp except large carnivores; no deer/elk/moose,1
15,PAWS Wildlife Center ,1,15305 44th Ave W,,Lynnwood,WA,98046,425-412-4040,Notes: All spp including large carnivores,1
16,Featherhaven,0,,,Enumclaw,WA,98022,253-350-5792,Notes: Songbirds only,1
17,West Sound Wildlife Shelter,1,7501 NE Dolphin Dr,,Bainbridge Island,WA,98110,206-855-9057,Notes: All spp,1
18,Susan Rosenburg,1,21670 President Pt,,Kingston,WA,98340,877-353-3463,Notes: Sm mammals and reptiles,0
19,Ellensburg Animal Hospital ,1,1800 Vantage Hwy,,Ellensburg,WA,98926,509-925-2833,Notes: INITIAL CARE ONLY All spp,0
20,Okanogan Wildlife League,1,229 C Eastlake Rd,,Oroville,WA,98844,509-560-3828,Notes: Small mammals and birds including birds of prey,0
21,Willapa Veterinary Service,1,231 Ocean Ave,,Raymond,WA,98577,360-942-2321,Notes: INITIAL CARE ONLY,1
22,Kiwani Wambli,1,411 Daisy Ln,,Cusick,WA,99119,509-671-5069,Notes: All spp except large carnivores and moose; birds of prey transport only,1
23,Wolf Hollow Wildlife Rehab Center,1,284 Boyce Rd,,Friday Harbor,WA,98250,360-378-5000,Notes: All spp except large carnivores; coyote and fox okay,0
24,Fidalgo Animal Medical Center,1,3303 Commercial Ave,,Anacortes,WA,98221,360-293-2186,Notes: INITIAL CARE ONLY,1
25,2nd Chance Wildlife Care Center,1,6512 61st PI SE,,Snohomish,WA,98290,425-335-0788,Notes: All spp; bobcat permitted,1
26,Happy Valley Bats,0,,,Stanwood,WA,98292,360-631-0668,Notes: Bats,1
27,Sarvey Wildlife Care Center,1,13106 128th St NE,,Arlington,WA,98223,360-435-4817,Notes: All species except large carnivores; coyote/fox/bobcat okay,0
28,Mt. Spokane Veterinary Hospital,1,17117 N Newport Hwy,,Mead,WA,99021,509-238-1585,Notes: All spp NO WILDLIFE AFTER-HOURS CALLS,0
29,Ponti Veterinary Hospital,1,25007 E Wellesley,,Otis Orchards,WA,99027,509-922-7465,Notes: Al spp except sm baby birds or raccoons,0
30,Chewelah Animal Hospital,0,,,Chewelah,WA,99109,509-935-6424,Notes: Mammals; Initial care only for birds,0
31,Many Gates to the Heart Rescue and Rehabilitation Ranch ,1,3211 Beitley Rd,,Valley,WA,99181,509-937-4800,Notes: Sm and med size mammals,1
32,Yelm Veterinary Hospital,1,1120 Yelm Ave W,,Yelm,WA,98597,360-458-7707,Notes: Small mammals and birds,0
33,For Heaven's Sake Animal Rescue and Rehab,1,16111 Case Rd SW,,Rochester,WA,98579,360-273-0550,Notes: Mammals: deer and elk specialty; birds including birds of prey,1
34,Raindancer Wild Bird Rescue,0,,,Olympia,WA,98502,360-970-5402,Notes: Birds of prey only; bats,1
35,Sardis Wildlife Center,0,,,Ferndale,WA,98240,360-366-3863,Notes: Birds of prey only,1
36,Whatcom Human Soc. Wildlife Rehabilitation Services Center ,1,3671 Mt. Baker Hwy,,Everson,WA,98247,360-920-5677,Notes: All spp,1
37,WSU Exotics and Wildlife Ward,1,100 Grimes Way,,Pullman,WA,99164,509-335-0741,Notes: Deer/elk/moose,1
38,Boyle Farm,0,,,Wapato,WA,98951,509-945-5422,Notes: Deer and elk,0
39,Raptor House,1,40 Wise Acre Rd,,Yakima,WA,98901,509-759-5500,Notes: Birds of prey only,1
40,Haven Wild Care,0,,,Redding,CA,,530-227-6727,Specialty: Fawns,1
41,Shasta Wildlife Rescue and Rehabilitation,0,,,Anderson,CA,,530-365-9453,,1
42,Humboldt Wildlife Care Center / Bird Ally X,0,,,Arcata,CA,,707-822-8839,,1
43,Tehama Wild Care,0,,,Cottonwood,CA,,530-347-1687,,1
44,Willits Wildlife Rehabilitation Team,0,,,Willits,CA,,707-354-1875,,1
45,Wildlife Rescue Center,0,,,Fort Jones,CA,,530-468-5287,,1
46,Woodlands Wildlife,0,,,Mendocino,CA,,707-937-2545,,1
47,Kindred Spirits Fawn Rescue,0,,,Loomis,CA,,530-889-5822,Fawns only,1
48,Gold Country Wildlife Rescue,0,,,Auburn,CA,,530-885-0862,,1
49,Bidwell Rehab Center,0,,,Chico,CA,,530-343-9004,,1
50,California Raptor Center,0,,,Davis,CA,,530-752-6091,Raptors only,1
51,Wildlife Rehabilitation and Release,0,,,Penn Valley,CA,,530-432-5522,,1
52,Sierra Wildlife Rescue,0,,,Placerville,CA,,530-621-4661,,1
53,CA Foundation For Birds of Prey,0,,,Roseville,CA,,916-773-6049,Raptors only,1
54,Wildlife Care Association Inc.,0,,,Sacramento,CA,,916-965-9453,,1
55,Tri-County Wildlife Care,0,,,Jackson,CA,,209-283-3245,,1
56,Lake Tahoe Wildlife Care,0,,,S. Lake Tahoe,CA,,530-577-2273,Specialty: Bear cubs,1
57,NorCal Bats,0,,,Davis,CA,,530-902-1918,Bats only,1
58,Clearlake Wildlife Rescue,0,,,Clearlake,CA,,707-350-3337,,1
59,ClearLake Veterinary Clinic,0,,,Clearlake,CA,,707-994-9100,,0
60,Flying Mammal Rescue,0,,,Sacramento,CA,,916-838-7002,Specialty: Bats,0
61,Wasson Memorial Veterinary Clinic,0,,,Lakeport,CA,,707-263-5380,,1
62,Bay Area Turtle and Tortoises,0,,,Castro Valley,CA,,510-886-2946,Specialty: Turtles & tortoises,1
63,Wildlife Fawn Rescue,0,,,Kenwood,CA,,707-931-4550,Fawns only,1
64,Sulphur Creek Nature Center,0,,,Hayward,CA,,510-881-6747,,1
65,Nan Pipestem Wildlife Rehab Center,0,,,Hollister,CA,,831-628-3400,,1
66,Wildlife Education and Rehab Center,0,,,Morgan Hill,CA,,408-779-9372,,1
67,Wildlife Rescue Center of Napa Co. Inc.,0,,,Napa,CA,,707-224-4295,Specialty: Canines & crow-family birds,0
68,Ohlone Humane Center,0,,,Newark,CA,,510-797-9449,,1
69,Rescued Orphan Mammal Program,0,,,San Francisco,CA,,415-221-3498,,1
70,Wildlife Center of Silicon Valley,0,,,San Jose,CA,,408-929-9453,,1
71,Injured & Orphaned Wildlife,0,,,Campbell,CA,,408-559-7379,,1
